"metro","state","lat","long","population","n","pp"
"McAllen","TX",26.2273,-98.2471,2002963,11,0.549186380377471
"Boston","MA",42.3188,-71.0846,8520995,57,0.668935963464361
"Washington","DC",38.9047,-77.0163,10149976,98,0.965519524381141
"St. Louis","MO",38.6358,-90.2451,3513672,38,1.08148967803483
"Bridgeport","CT",41.1918,-73.1953,4777477,52,1.0884406141568
"San Francisco","CA",37.7562,-122.443,7595851,88,1.1585272012313
"New York","NY",40.6943,-73.9249,35985606,417,1.1587966588641
"Scranton","PA",41.4044,-75.6649,682414,8,1.17230889166987
"Rockford","IL",42.2597,-89.0641,675909,8,1.18359128225841
"Harrisburg","PA",40.2752,-76.8843,1587528,19,1.19682928427089
"Dallas","TX",32.7936,-96.7662,9877892,119,1.20471047871347
"Minneapolis","MN",44.9635,-93.2678,5576125,69,1.23741845815867
"Chicago","IL",41.8373,-87.6862,12470997,162,1.29901402429974
"Nashua","NH",42.7491,-71.491,903632,12,1.32797421959382
"Philadelphia","PA",40.0077,-75.1339,9773061,133,1.36088375996016
"Atlanta","GA",33.7627,-84.4224,7266155,99,1.36248125728119
"Winston-Salem","NC",36.1029,-80.2611,1110142,16,1.44125706441158
"Miami","FL",25.7839,-80.2102,9902553,143,1.44407204889487
"Fayetteville","AR",36.0713,-94.166,658211,10,1.51926965669064
"Montgomery","AL",32.3473,-86.2666,325184,5,1.5375910253887
"Tampa","FL",27.9942,-82.4451,5391455,83,1.5394731106909
"Hagerstown","MD",39.6401,-77.7217,708936,11,1.55162102079736
"Huntington","WV",38.4109,-82.4344,255996,4,1.56252441444398
"Cincinnati","OH",39.1413,-84.5061,2656108,43,1.61891007443974
"Charleston","WV",38.3484,-81.6323,183411,3,1.63567070677331
"Warner Robins","GA",32.597,-83.6529,366274,6,1.63811791172729
"Seattle","WA",47.6211,-122.3244,6469998,107,1.6537872190996
"Flint","MI",43.0235,-83.6922,592442,10,1.68792894494313
"Riverside","CA",33.9381,-117.3948,7985397,135,1.69058595333457
"Gainesville","GA",34.2903,-83.8301,351551,6,1.70672249545585
"Buffalo","NY",42.9016,-78.8487,2558100,45,1.75911809546148
"Charleston","SC",32.8153,-79.9628,1011275,18,1.77993127487578
"Odessa","TX",31.8831,-102.3406,336753,6,1.78172132096819
"Wichita","KS",37.6896,-97.3442,613906,11,1.79180526008868
"Stockton","CA",37.9765,-121.3109,1659667,30,1.80759152287778
"Kansas City","MO",39.1239,-94.5541,2969778,54,1.81831773284064
"Detroit","MI",42.3834,-83.1024,6045812,111,1.83598166797115
"Appleton","WI",44.2779,-88.3891,744087,14,1.88150041594598
"Birmingham","AL",33.5277,-86.7987,1265091,24,1.89709673059092
"Memphis","TN",35.1046,-89.9773,1463213,28,1.91359699510598
"Milwaukee","WI",43.0642,-87.9673,2453362,47,1.91573848457749
